"","year","unemploymentRate","laborForce","employed","unemployed","totalWages","avgWage","natHHMedIncome","housingMed","rentMed","zhvi","natUnemployment"
"1",2000,5.1,1818559,1725744,92815,NA,NA,NA,139542.5,NA,142450,285
"2",2001,6.4,1823916,1706904,117012,3987490142,28982.43,56531,140315,NA,144750,362
"3",2002,7.5,1835325,1697237,138088,4059948682,29426.74,55871,150475.25,NA,150200,414
"4",2003,8.1,1845544,1695906,149638,4137936278,30324.55,55823,162705.25,NA,159550,407
"5",2004,7.3,1838112,1703703,134409,4371274366,31339.34,55629,177181.25,NA,176100,376
"6",2005,6.2,1845761,1731845,113916,4690285627,32302.69,56224,213317.25,NA,204650,331
"7",2006,5.3,1885385,1785044,100341,4947396930,33242.83,56663,248050,NA,240450,282
"8",2007,5.2,1921766,1822772,98994,5185818474,34323.85,57423,255500,NA,250200,308
"9",2008,6.5,1955121,1827352,127769,5225369633,35362.94,55376,242200,NA,240650,366
"10",2009,11.3,1976638,1753682,222956,4814614624,35474.61,54988,230402.875,NA,224550,629
"11",2010,10.6,1984039,1773076,210963,4829633517,35888.84,53568,231095,NA,218500,496
"12",2011,9.5,1993889,1804320,189569,4987173462,36778.02,52751,213803.25,1095,199900,420
"13",2012,8.8,1953439,1780790,172649,5148398977,37618.55,52666,217187.5,1095,198950,372
"14",2013,7.9,1906988,1756494,150494,5319383548,38353.38,54525,225912.5,1095,209950,365
"15",2014,6.8,1937893,1805955,131938,5597437398,39382.8,53718,231962.5,1195,220800,344
"16",2015,5.6,1978010,1867187,110823,5993019180,40824.38,56516,237525,1200,232300,284
"17",2016,4.9,2055114,1954821,100293,NA,NA,NA,247200,1258.75,249350,286
